id|description|type|placeholders|ca|de|en|es|fr
chat|||null|Xat|Chat|Chat|Chat|Chat
tasks|||null|Tasques||My tasks|Tareas|
calendar|||null|Calendari||Calendar|Calendario|
account|||null|Compte||Account|Cuenta|
my_patients|||null|Els meus pacients||My patients|Mis pacientes|
my_treatments|||null|||My treatments||
activity|||null|||Activity||
add_activity|||null|||Add activity||
add_treatment|||null|||Add treatment||
name|||null|||Name||
last_name_1|||null|||Last name 1||
last_name_2|||null|||Last name 2||
last_name|||null|||Last name||
birth_date|||null|||Birth date||
externalId|||null|||External ID||
cancel|||null|||Cancel||
continue_button|||null|||Continue||
save|||null|||Save||
introduce_search_terms|||null|||Introduce search terms to find the patient.||
not_found_patient|||null|||Did not found your patient?||
add_patient|||null|||Add patient||
too_many_patients|||null|||Too many results. Please add more search criteria to refine your results.||
email|||null|||Email||
start_date|||null|||Start date||
phone|||null|||Phone||
no_data|||null|||No data||
monitoring|||null|||Monitoring||
date|||null|||Date||
data_source|||null|||Data source||
goal|||null|||Goal||
language|||null|||Language||
treatment|||null|||Treatment||
case_manager|||null|||Case manager||
field_required|||null|||This field is required||
email_error|||null|||You have to write a valid email||
patient_info_saved|||null|||The patient's information has been saved successfully||
health_professionals|||null|||Health professionals||
patient|||null|||Patient||
adherence|||null|||Adherence||
admission_date|||null|||Admission date||
status|||null|||Status||
role|||null|||Role||
chats|||null|||Chats||
actions|||null|||Actions||
of_|||null|||of||
done|||null|||Done||
professional_management|||null|||Professional Management||
add_professional|||null|||Add health professional||
user_status|||null|||User status||
physiotherapy|||null|||Physiotherapy||
nutrition|||null|||Nutrition||
psychology|||null|||Psychology||
specialty|||null|||Specialty||
anesthesia|||null|||Anesthesia||
case_manager_or_specialty_required|||null|||Case manager or specialties required||
specialist_required|||null|||Specialist required||
select_protocol|||null|||Please select a protocol||
active|||null|||Active||
inactive|||null|||Inactive||
protocol|||null|||Protocol||
state|||null|||State||
cancelled|||null|||Cancelled||
finished|||null|||Finished||
admin|||null|||Admin||
specialist|||null|||Specialist||
delete_health_professional|||null|||Delete health professional||
delete_health_professional_message|||null|||Are you sure you want to delete this professional?||
professional_deleted|||null|||Health professional deleted||
confirm|||null|||Confirm||
edit_patient|||null|||Edit patient||
edit_professional|||null|||Edit health professional||
delete_health_professional_error|||null|||This professional is assigned to a treatment in progress, it cannot be deleted||
activate|||null|||Activate||
enable|||null|||Enable||
disable|||null|||Disable||
resend_invitation|||null|||Resend invitation||
activation_in_progress|||null|||Activation in progress||
invitation_link_expired|||null|||Invitation link expired||
mobile_access_disabled|||null|||Mobile access disabled||
mobile_access_enabled|||null|||Mobile access enabled||
access_disabled|||null|||Access disabled||
access_enabled|||null|||Access enabled||
invitation_link_sent_on|||null|||Invitation link sent on||
at|||null|||at||
notes|||null|||Notes||
patient_task|||null|||Patient task||
appointment|||null|||Appointment||
participants|||null|||Participants||
cancel_appointment|||null|||Cancel appointment||
start_appointment|||null|||Start appointment||
select_treatment|||null|||Select a protocol||
task_started|||null|||Task started||
treatment_created|||null|||The treatment has been created successfully||
activation_sent|||null|||Activation sent||
disabled|||null|||Disabled||
monitoring_configuration|||null|||Monitoring configuration||
mobile_access_configuration|||null|||Mobile access configuration||
mobile_access_configuration_message|||null|||"A verification message will be sent to the patient's email (%s) to activate the mobile access. 
Are you sure you want to continue?"||
monitoring_variables|||null|||Monitoring variables||
start_appointment_sure|||null|||It's not yet time for the appointment. Are you sure you want to start the appointment?||
paired_devices|||null|||Paired devices||
no_device|||null|||No device||
no_devices_configured|||null|||No devices configured||
no_monitoring_variables|||null|||No monitoring variables||
connected|||null|||Connected||
not_connected|||null|||Not connected||
device|||null|||Device||
device_id|||null|||Device ID||
last_synchronized|||null|||Last synchronized at||
variable_type|||null|||Variable type||
request_by|||null|||Request by||
activities|||null|||activities||
delete_treatment|||null|||Delete treatment||
delete_treatment_message|||null|||Are you sure you want to delete this treatment?||
treatment_deleted|||null|||Treatment deleted||
sleep|||null|||Sleep||
hr|||null|||HR||
hrv|||null|||HRV||
yes|||null|||Yes||
no|||null|||No||
steps|||null|||Steps||
all|||null|||All||
specialties|||null|||Specialties||
not_assigned|||null|||Not assigned||
not_yet_synchronized|||null|||Not yet synchronized||
role_not_authorized|||null|||You are not authorized||
monitoring_variables_saved|||null|||Monitoring variables saved successfully||
professional_saved|||null|||The professional's information has been saved successfully||
update_device_sure|||null|||Are you sure you want to change the device?||
not_configured|||null|||Not configured||
in_progress|||null|||In progress||
pending|||null|||Pending||
suspended|||null|||Suspended||
not_staged|||null|||Not staged||
face_to_face|||null|||Face to face||
video_call|||null|||Video call||
phone_call|||null|||Phone call||
appointment_of|||null|||Appointment of||
request_for|||null|||Request for||
configure_activity|||null|||Configure activity||
rescheduled|||null|||Rescheduled||
rescheduled_to|||null|||Rescheduled to||
expired|||null|||Expired||
missed|||null|||Missed||
completed|||null|||Completed||
executed|||null|||Executed||
scheduled|||null|||Scheduled||
select_appointment_type|||null|||Select appointment type||
required|||null|||Required||
to|||null|||to||
select|||null|||Select||
select_participants|||null|||Select participants||
participants_required|||null|||Participants are required||
appointment_instructions|||null|||Appointment instructions||
schedule_instructions|||null|||Schedule instructions||
activity_saved|||null|||Activity saved successfully||
start_activity|||null|||Start activity||
apply_this_configuration|||null|||Do you want to apply this configuration and start this activity?||
save_configuration_apply_later|||null|||Alternatively, you can save this configuration if you plan to review and apply it later.||
yes_start_activity|||null|||Yes, start activity||
no_just_save|||null|||No, just save||
reschedule|||null|||Reschedule||
end_appointment|||null|||End appointment||
task_finished|||null|||Task finished||
cancel_task|||null|||Cancel task||
stay_here|||null|||Stay here||
no_show|||null|||No show||
every_time|||null|||every time||
send|||null|||Send||
other_reason|||null|||Other reason||
cancel_reason|||null|||Cancel reason||
task_cancelled|||null|||Task cancelled||
select_professionals|||null|||Select professionals||
select_specialties|||null|||Select specialties||
why_cancel_task|||null|||Why do you want to cancel this appointment?||
save_changes|||null|||Save changes||
appointment_saved|||null|||Appointment saved successfully||
date_time_error|||null|||Date must be in the future, and end time must be after start time||
want_reschedule|||null|||Do you want to reschedule this appointment?||
reschedule_task|||null|||Reschedule task||
new_date|||null|||New date||
task_rescheduled|||null|||Task rescheduled||
mandatory|||null|||Mandatory||
not_mandatory|||null|||Not mandatory||
questionnaire|||null|||Questionnaire||
delete_form|||null|||Are you sure you want to delete this form?||
select_profile|||null|||Select profile||
selected_library_items|||null|||Selected library items||
content_delivery|||null|||Content delivery||
delivered|||null|||Delivered||
delivery_date|||null|||Delivery date||
delivered_library_items|||null|||Delivered library items||
partiallyRead|||null|||Partially read||
notRead|||null|||Not read||
custom|||null|||Custom||
error_patients_form|||null|||All forms must be assigned to the patient||
all_day|||null|||All day||
for_|||null|||for||
not_ready|||null|||Not ready||
ready|||null|||Ready||
skipped|||null|||Skipped||
draft|||null|||Draft||
upcoming|||null|||Upcoming||
read|||null|||Read||
not_read|||null|||Not read||
partially_read|||null|||Partially read||
jan|||null|||Jan||
feb|||null|||Feb||
mar|||null|||Mar||
apr|||null|||Apr||
may|||null|||May||
jun|||null|||Jun||
jul|||null|||Jul||
aug|||null|||Aug||
sep|||null|||Sep||
oct|||null|||Oct||
nov|||null|||Nov||
dec|||null|||Dec||
january|||null|||January||
february|||null|||February||
march|||null|||March||
april|||null|||April||
june|||null|||June||
july|||null|||July||
may_c|||null|||May||
august|||null|||August||
september|||null|||September||
october|||null|||October||
november|||null|||November||
december|||null|||December||
monday|||null|||Monday||
tuesday|||null|||Tuesday||
wednesday|||null|||Wednesday||
thursday|||null|||Thursday||
friday|||null|||Friday||
saturday|||null|||Saturday||
sunday|||null|||Sunday||
first|||null|||first||
second|||null|||second||
third|||null|||third||
fourth|||null|||fourth||
fifth|||null|||fifth||
days|||null|||Days||
weeks|||null|||Weeks||
months|||null|||Months||
years|||null|||Years||
repeats|||null|||Repeats||
not_repeat|||null|||Does not repeat||
finishes_on|||null|||Finishes on||
finishes_after|||null|||Finishes after||
every|||null|||every||
occurrences|||null|||occurrences||
on|||null|||on||
select_days|||null|||Select days||
